id,movie_type,image,title,original_title,movie_genre,rating,launch_date,description,movie_link,movie_image_link,movie_status
265,2,movies/bff81f32-c5c5-450a-8eaa-f196c28241a6.jpg,57 Seconds,57 Seconds,18,5.4,2023-09-29,"<p><span style=""color:hsl(0, 0%, 0%);"">When a tech blogger lands an interview with a tech guru and stops an attack on him, he finds a mysterious ring that takes him back 57 seconds into the past.</span></p>",https://www.imdb.com/title/tt18083578/,,2
264,2,movies/7517a758-13d3-4212-b28a-869100209d88.jpg,The Survivalist,The Survivalist,18,6.4,2015-04-18,"<p><span style=""color:hsl(0, 0%, 0%);"">In a time of starvation, a survivalist lives off a small plot of land hidden deep in forest. When two women seeking food and shelter discover his farm, he finds his existence threatened.</span></p>",https://www.imdb.com/title/tt2580382/,,2
263,2,movies/461b1279-2c0f-4754-b7f2-f7c5e4c3e111.jpg,Extinction,Extinction,18,5.8,2015-07-18,"<p><span style=""color:hsl(0, 0%, 0%);"">And suddenly, overnight, the world came to a halt. Two men, two survivors, one kid, and hatred that separates them. A place forgotten by everyone, including the creatures that inhabit the Earth... until now.</span></p>",https://www.imdb.com/title/tt3467412/,,2
262,1,movies/7b11501e-4570-48bf-9879-d203176d6a39.jpg,Into the Night,Into the Night,18,7.0,2020-05-01,"<p><span style=""color:hsl(0, 0%, 0%);"">When radiation from the sun causes a global disaster on Earth, survivors on an overnight flight from Brussels race from city to city trying to stay ahead of the sun's rays by remaining in the cover of night.</span></p>",https://www.imdb.com/title/tt10919486/,,2
261,1,movies/4e33c319-f7e7-4b67-8cb2-07b1776f8c71.jpg,Z Nation,Z Nation,1,6.7,2014-09-12,"<p><span style=""color:hsl(0, 0%, 0%);"">Three years after the zombie virus has gutted the United States of America a team of everyday heroes must transport the only known survivor of the plague from New York to California, where the last functioning viral lab waits for his blood.</span></p>",https://www.imdb.com/title/tt3843168/,,2
260,2,movies/b2b566b5-146f-496c-a742-866f986cb168.jpg,Exodus: Zei si regi,Exodus: Gods and Kings,1,6.0,2014-12-03,"<p><span style=""color:hsl(0, 0%, 0%);"">The defiant leader Moses rises up against Egyptian Pharaoh Ramses II, setting six hundred thousand slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues.</span></p>",https://www.imdb.com/title/tt1528100/,,2
259,1,movies/dba37371-d35e-4a2e-bfb5-af80ee773e38.jpg,The 100,The 100,18,7.6,2014-03-19,"<p><span style=""color:hsl(0, 0%, 0%);"">Set 97 years after a nuclear war destroyed civilization, when a spaceship housing humanity's lone survivors sends 100 juvenile delinquents back to Earth, hoping to repopulate the planet.</span></p>",https://www.imdb.com/title/tt2661044/,,2
258,2,movies/d86cf6a2-4eb9-4252-8104-17663f3ebe89.png,Povestea X a Americii,American History X,6,8.5,1998-07-01,"<p><span style=""color:hsl(0, 0%, 0%);"">Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.</span></p>",https://www.imdb.com/title/tt0120586/,,2
257,1,movies/84eec819-3405-4e97-bdd5-a7b52999dde7.jpg,Dark,Dark,6,8.7,2017-09-09,"<p><span style=""color:hsl(0, 0%, 0%);"">A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.</span></p>",https://www.imdb.com/title/tt5753856/,,2
256,2,movies/7f79616f-cc5a-40c0-a394-a864e2d8c2f4.jpg,Labirintul: Tratament letal,Maze Runner: The Death Cure,18,6.2,2018-01-17,"<p><span style=""color:hsl(0, 0%, 0%);"">Young hero Thomas embarks on a mission to find a cure for a deadly disease known as ""The Flare"".</span></p>",https://www.imdb.com/title/tt4500922/,,2
255,2,movies/9b74508f-518f-44c4-adb6-1085a5460ac4.jpg,Labirintul: Încercările focului,Maze Runner: The Scorch Trials,18,6.3,2015-09-01,"<p><span style=""color:hsl(0, 0%, 0%);"">After having escaped the Maze, the Gladers now face a new set of challenges on the open roads of a desolate landscape filled with unimaginable obstacles.</span></p>",https://www.imdb.com/title/tt4046784/,,2
254,2,movies/3d648ad0-f4d2-4e78-855c-ec73f9bfd240.jpg,Labirintul: Evadarea,The Maze Runner,1,6.8,2014-09-11,"<p><span style=""color:hsl(0, 0%, 0%);"">Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.</span></p>",https://www.imdb.com/title/tt1790864/,,2
253,1,movies/530e8fb1-4a25-48e3-95cb-5bd0b7f056af.jpg,The Last Kingdom,The Last Kingdom,1,8.5,2015-10-10,"<p><span style=""color:hsl(0, 0%, 0%);"">As Alfred the Great defends his kingdom from Norse invaders, Uhtred--born a Saxon but raised by Vikings--seeks to claim his ancestral birthright.</span></p>",https://www.imdb.com/title/tt4179452/,,2
252,2,movies/47687ad2-9729-49e8-baf6-954b3d1b09ba.jpg,Nunta pe bani,Nunta pe bani,5,7.1,2023-10-10,"<p><span style=""color:hsl(0, 0%, 0%);"">Mircea hates weddings. Everyone finds out when, after attending yet another wedding out of obligation, he makes a controversial Facebook post that goes viral.</span></p>",https://www.imdb.com/title/tt29475628/,,2
251,2,movies/ef2f66c4-5722-4975-af6c-c434358e1fd5.jpg,Take Shelter,Take Shelter,8,7.3,2011-01-24,"<p><span style=""color:hsl(0, 0%, 0%);"">Plagued by a series of apocalyptic visions, a young husband and father questions whether to shelter his family from a coming storm, or from himself</span></p>",https://www.imdb.com/title/tt1675192/,,2
250,2,movies/ed4b163b-facc-4d84-9fdf-c84d124040a6.jpg,Vremuri întunecate,The Darkest Hour,1,4.9,2011-12-22,"<p><span style=""color:hsl(0, 0%, 0%);"">In Moscow, five young people lead the charge against an alien race who have attacked Earth via our power supply.</span></p>",https://www.imdb.com/title/tt1093357/,,2
249,2,movies/f17ab8e8-2fc0-47c7-974e-aceb8deb1946.jpg,Vanatoarea de vampiri,Stake Land,13,6.4,2010-09-17,"<p><span style=""color:hsl(0, 0%, 0%);"">In a world of vampires, an expert vampire hunter and his young protégé travel toward sanctuary.</span></p>",https://www.imdb.com/title/tt1464580/,,1
248,2,movies/ae57a0df-a90f-47c7-ab99-b7e4050e0503.jpg,Haeundae,Haeundae,1,5.5,2009-07-22,"<p><span style=""color:hsl(0, 0%, 0%);"">A woman named Yeon-hee (Ha Ji-won) lives in Busan with her boyfriend Man-sik (Sol Kyung-gu) near Haeundae Beach. But, when they find out a tsunami will hit the city, They realize they only have 10 minutes to escape!</span></p>",https://www.imdb.com/title/tt1153040/,,2
247,2,movies/144c2f16-858d-4687-8aeb-974811e55dbd.jpg,The Rover,The Rover,18,6.4,2014-05-18,"<p><span style=""color:hsl(0, 0%, 0%);"">10 years after a global economic collapse, a hardened loner pursues the men who stole his only possession, his car. Along the way, he captures one of the thieves' brother, and the duo form an uneasy bond during the dangerous journey.</span></p>",https://www.imdb.com/title/tt2345737/,,2
246,2,movies/acd3fec9-a48d-4323-aeff-57429565e099.jpg,The Day,The Day,18,5.2,2011-09-16,"<p><span style=""color:hsl(0, 0%, 0%);"">A group of five people working to stay alive in a post-apocalyptic future discover what they think is a safe, abandoned farmhouse, but they soon find themselves fighting to stay alive as a gang of bloodthirsty predators attack.</span></p>",https://www.imdb.com/title/tt1756799/,,2
245,2,movies/46b4aace-277c-48a3-8fd4-30c5a6b7c21b.jpg,The Colony,The Colony,1,5.3,2013-04-26,"<p><span style=""color:hsl(0, 0%, 0%);"">Forced underground by the next ice age, a struggling outpost of survivors must fight to preserve humanity against a threat even more savage than nature.</span></p>",https://www.imdb.com/title/tt1160996/,,2
244,2,movies/dec4079d-3bb8-4986-a9b8-f723a7e2a9c4.jpg,Alb orbitor,Blindness,16,6.5,2008-05-14,"<p><span style=""color:hsl(0, 0%, 0%);"">A city is ravaged by an epidemic of instant white blindness.</span></p>",https://www.imdb.com/title/tt0861689/,,2
243,2,movies/879955f1-b915-4529-9a6e-c4d6998008aa.jpg,Planeta Maimutelor: Revolutie,Dawn of the Planet of the Apes,1,7.6,2014-06-26,"<p><span style=""color:hsl(0, 0%, 0%);"">The fragile peace between apes and humans is threatened as mistrust and betrayal threaten to plunge both tribes into a war for dominance over the Earth.</span></p>",https://www.imdb.com/title/tt2103281/,,2
242,2,movies/a0de829b-0a4f-4a8b-80c3-5ef3f85c33d8.jpg,Poștașul,The Postman,1,6.1,1997-12-12,"<p><span style=""color:hsl(0, 0%, 0%);"">A nameless drifter dons a postman's uniform and bag of mail as he begins a quest to inspire hope to the survivors living in post-apocalyptic America.</span></p>",https://www.imdb.com/title/tt0119925/,,2
241,2,movies/fe8560c3-f789-40d5-9526-52cabdd5c369.jpg,Lumea acvatică,Waterworld,18,6.3,1995-07-28,"<p><span style=""color:hsl(0, 0%, 0%);"">In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw ""smokers,"" and reluctantly helps a woman and a young girl try to find dry land.</span></p>",https://www.imdb.com/title/tt0114898/,,2
240,2,movies/c9efad52-a8ba-4143-8cfe-d93c18225219.jpg,Tărâmul morţii,Land of the Dead,13,6.2,2005-06-18,"<p><span style=""color:hsl(0, 0%, 0%);"">The living dead have taken over the world, and the last humans live in a walled city to protect themselves as they come to grips with the situation.</span></p>",https://www.imdb.com/title/tt0418819/,,1
