Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17882082,Scaunul gol,Jeffery Deaver,"Deaver, Jeffery",,"=""973103630X""","=""9789731036304""",0,4.07,RAO International Publishing Company,Paperback,512,2008,2000,,2020/03/02,to-read,to-read (#94),to-read,,,,0,0
18274982,"Maimuta de piatra (Lincoln Rhyme, #4)",Jeffery Deaver,"Deaver, Jeffery",,"=""9735400405""","=""9789735400408""",0,3.97,RAO International Publishing Company,Paperback,480,2009,2002,,2020/03/02,to-read,to-read (#93),to-read,,,,0,0
16097399,Cartea morților,Patricia Cornwell,"Cornwell, Patricia",,"=""9731432930""","=""9789731432939""",0,3.69,Nemira,Paperback,576,2009,2007,,2020/03/02,to-read,to-read (#92),to-read,,,,0,0
17883469,Ratiuni criminale,Patricia Cornwell,"Cornwell, Patricia",,"=""""","=""9789735699222""",0,3.72,Nemira,Paperback,448,2007,2005,,2020/03/02,to-read,to-read (#91),to-read,,,,0,0
28287133,"Eroul evurilor (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""6067194767""","=""9786067194760""",0,4.53,Editura TREI,Paperback,824,2015,2008,,2020/03/02,to-read,to-read (#90),to-read,,,,0,0
26067839,"Fântâna Înălţării (Născuți din ceață, #2)",Brandon Sanderson,"Sanderson, Brandon",Ana-Veronica Mircea,"=""""","=""9786067194012""",0,4.38,Trei,Paperback,862,2015,2007,,2020/03/02,to-read,to-read (#89),to-read,,,,0,0
22369449,"Ultimul imperiu (Născuți din ceață, #1)",Brandon Sanderson,"Sanderson, Brandon",Ana-Veronica Mircea,"=""9737078233""","=""9789737078230""",0,4.48,Trei,Paperback,816,2014,2006,,2020/03/02,to-read,to-read (#88),to-read,,,,0,0
35288371,În ape adânci,Paula Hawkins,"Hawkins, Paula",Camelia Ghioc,"=""6064001143""","=""9786064001146""",0,3.59,Trei,Paperback,432,2017,2017,,2020/03/02,to-read,to-read (#87),to-read,,,,0,0
34213330,Ea și El,Marc Levy,"Levy, Marc",,"=""9786067195""","=""""",0,3.71,Trei,,320,2016,2015,,2020/03/02,to-read,to-read (#86),to-read,,,,0,0
36668104,"Aliați în Slujba Dreptății (Mistborn, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""6064003049""","=""9786064003041""",0,4.21,Editura TREI,Paperback,376,2017,2011,,2020/03/02,to-read,to-read (#85),to-read,,,,0,0
18747026,Magicianul,John Fowles,"Fowles, John","Livia Deac, Mariana Chiţoran","=""9734636804""","=""9789734636808""",0,4.05,Polirom,Paperback,751,2013,1965,,2020/03/02,to-read,to-read (#84),to-read,,,,0,0
38235474,Întâlnire la Elysée (Romansh Edition),Rodica Ojog-Braşoveanu,"Ojog-Braşoveanu, Rodica",,"=""6067583119""","=""9786067583113""",0,3.84,Nemira Publishing House,Kindle Edition,0,2015,1983,,2020/03/02,to-read,to-read (#83),to-read,,,,0,0
17932824,Adevărul despre cazul Harry Quebert,Joël Dicker,"Dicker, Joël",Ana Antonescu,"=""9737077539""","=""9789737077530""",0,4.18,Editura Trei,Paperback,656,2013,2012,,2020/03/02,to-read,to-read (#82),to-read,,,,0,0
17285007,"Misterioasa afacere de la Styles (Hercule Poirot, #1)",Agatha Christie,"Christie, Agatha",,"=""6066091042""","=""9786066091046""",0,4.00,RAO,Paperback,216,2011,1920,,2020/03/02,to-read,to-read (#81),to-read,,,,0,0
7827793,Al cincilea as,Rodica Ojog-Braşoveanu,"Ojog-Braşoveanu, Rodica",,"=""""","=""9789731432533""",0,4.19,,Paperback,342,2008,1978,,2020/03/02,to-read,to-read (#80),to-read,,,,0,0
8061387,Poveste imorală,Rodica Ojog-Braşoveanu,"Ojog-Braşoveanu, Rodica",,"=""""","=""9789731432540""",0,4.22,Nemira,Paperback,480,2008,1998,,2020/03/02,to-read,to-read (#79),to-read,,,,0,0
40204863,Omul care vedea dincolo de chipuri,Éric-Emmanuel Schmitt,"Schmitt, Éric-Emmanuel",Liliana Donose Samuelsson,"=""6067793792""","=""9786067793796""",0,3.77,Humanitas Fiction,Paperback,304,2018,2016,,2020/03/02,to-read,to-read (#78),to-read,,,,0,0
44022577,"Umbra sinelui (Născuți din ceață, #5)",Brandon Sanderson,"Sanderson, Brandon",Marilena Dumitrescu,"=""6064005947""","=""9786064005946""",0,4.28,Trei,Paperback,432,2019,2015,,2020/03/02,to-read,to-read (#77),to-read,,,,0,0
10592,Carrie,Stephen King,"King, Stephen",,"=""1416524304""","=""9781416524304""",0,3.98,Pocket,Mass Market Paperback,272,2005,1974,,2020/03/02,to-read,to-read (#76),to-read,,,,0,0
6424944,Cianură pentru un surâs (Melania Lupu #1),Rodica Ojog-Braşoveanu,"Ojog-Braşoveanu, Rodica",,"=""""","=""""",0,4.35,Dacia,Paperback,222,1976,1975,,2020/03/02,to-read,to-read (#75),to-read,,,,0,0
6068880,320 de pisici negre (Melania Lupu #3),Rodica Ojog-Braşoveanu,"Ojog-Braşoveanu, Rodica",,"=""""","=""""",0,4.35,Nemira,Paperback,288,2013,1978,,2020/03/02,to-read,to-read (#74),to-read,,,,0,0
17297253,O bombă pentru Revelion,Rodica Ojog-Braşoveanu,"Ojog-Braşoveanu, Rodica",,"=""""","=""""",0,4.18,Editura Kullusys,Kindle Edition,246,2009,1981,,2020/03/02,to-read,to-read (#73),to-read,,,,0,0
18080596,Oceanul de la capătul aleii,Neil Gaiman,"Gaiman, Neil",Iulia Dromereschi,"=""9731249001""","=""9789731249001""",0,4.02,Paladin,Hardcover,195,2013,2013,,2020/03/02,to-read,to-read (#72),to-read,,,,0,0
37595718,"Al cincilea anotimp (Pământul sfărâmat, #1)",N.K. Jemisin,"Jemisin, N.K.",Laura Ciobanu,"=""6068673669""","=""9786068673660""",0,4.31,Paladin,Paperback,462,2017,2015,,2020/03/02,to-read,to-read (#70),to-read,,,,0,0
43247230,"Poarta Obeliscului (The Broken Earth, #2)",N.K. Jemisin,"Jemisin, N.K.",Laura Ciobanu,"=""6068673960""","=""9786068673967""",0,4.31,Paladin,Hardcover,408,2018,2016,,2020/03/02,to-read,to-read (#69),to-read,,,,0,0
36309669,"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,"McDonagh, Martin",,"=""0571345301""","=""9780571345304""",0,4.04,Faber & Faber,ebook,96,2018,2018,,2020/03/02,to-read,to-read (#68),to-read,,,,0,0
42951686,Singurul om,Andrew Gross,"Gross, Andrew",,"=""""","=""9786068965055""",0,4.32,Preda Publishing,Paperback,460,2018,2016,,2020/03/02,to-read,to-read (#67),to-read,,,,0,0
28647586,"Regina Roșie (Regina Roșie, #1)",Victoria Aveyard,"Aveyard, Victoria",Shauki Al-Gareeb,"=""6067584662""","=""9786067584660""",0,4.00,Nemira,Paperback,472,2016,2015,,2020/03/02,to-read,to-read (#66),to-read,,,,0,0
17968365,Fata dispărută,Gillian Flynn,"Flynn, Gillian",Bogdan Perdivară,"=""""","=""""",0,4.13,Editura Trei,Paperback,616,2013,2012,,2020/03/02,to-read,to-read (#65),to-read,,,,0,0
34642859,"Sabia de sticlă (Regina roşie, #2)",Victoria Aveyard,"Aveyard, Victoria",Ruxandra Toma,"=""606758901X""","=""9786067589016""",0,3.80,Nemira,Paperback,544,2017,2016,,2020/03/02,to-read,to-read (#64),to-read,,,,0,0
38598116,Colivia regelui,Victoria Aveyard,"Aveyard, Victoria",,"=""""","=""""",0,3.91,Editura Nemira,Paperback,608,2018,2017,,2020/03/02,to-read,to-read (#63),to-read,,,,0,0
13335037,"Divergent (Divergent, #1)",Veronica Roth,"Roth, Veronica",,"=""0062024035""","=""9780062024039""",0,4.14,Katherine Tegen Books,Paperback,487,2012,2011,,2020/03/02,to-read,to-read (#62),to-read,,,,0,0
11735983,"Insurgent (Divergent, #2)",Veronica Roth,"Roth, Veronica",,"=""0007442912""","=""9780007442911""",0,3.97,HarperCollins Children's Books,Hardcover,525,2012,2012,,2020/03/02,to-read,to-read (#61),to-read,,,,0,0
18710190,"Allegiant (Divergent, #3)",Veronica Roth,"Roth, Veronica",,"=""0007524277""","=""9780007524273""",0,3.60,HarperCollins Children's Book's,Hardcover,531,2013,2013,,2020/03/02,to-read,to-read (#60),to-read,,,,0,0
30138077,Toată lumina pe care nu o putem vedea,Anthony Doerr,"Doerr, Anthony",Iulia Gorzo,"=""6067790548""","=""9786067790542""",0,4.32,Humanitas Fiction,Paperback,464,2016,2014,,2020/03/02,to-read,to-read (#59),to-read,,,,0,0
16000613,Palatul de la Miazănoapte,Carlos Ruiz Zafón,"Zafón, Carlos Ruiz",Lavinia Similaru,"=""9734622579""","=""9789734622573""",0,3.63,Polirom,Paperback,246,2011,1994,,2020/03/02,to-read,to-read (#58),to-read,,,,0,0
22535625,Abatorul cinci,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",Rodica Mihăilă,"=""9731249753""","=""9789731249759""",0,4.10,Art,Hardcover,198,2014,1969,,2020/03/02,to-read,to-read (#57),to-read,,,,0,0
34326414,Chimista,Stephenie Meyer,"Meyer, Stephenie",Constantin Dumitru-Palcus,"=""""","=""""",0,3.76,Trei,Paperback,608,2016,2016,,2020/03/02,to-read,to-read (#56),to-read,,,,0,0
12943247,Prima zi,Marc Levy,"Levy, Marc",Marie-Jeanne Vasiloiu,"=""9737073312""","=""9789737073310""",0,3.81,Trei,Paperback,488,2009,2009,,2020/03/02,to-read,to-read (#55),to-read,,,,0,0
21408909,Colecționarul,John Fowles,"Fowles, John",,"=""9734626604""","=""9789734626601""",0,3.98,Editura Polirom,Kindle Edition,291,2012,1963,,2020/03/02,to-read,to-read (#54),to-read,,,,0,0
27239917,"Haiganu. Fluviul Șoaptelor (Haiganu, #1)",Marian Coman,"Coman, Marian","Andrei Moldovan, Mihai Ionașcu, Ana-Maria Arsene, Catalin Badea-Gheracostea","=""""","=""9786069364048""",0,4.22,HAC!BD,Paperback,256,2015,2015,,2020/03/02,to-read,to-read (#53),to-read,,,,0,0
