id,book_type,book_language,authors,image,title,book_genre,rating,published_date,description,isbn_13,page_count,book_status,date_added,date_read,goodreads_link
509,1,1,Rodica Ojog-Braşoveanu,,O bombă pentru Revelion,,4.17,,,,246,3,3/2/2020,,
510,1,1,Neil Gaiman,,Oceanul de la capătul aleii,,4.02,,,9789731249001,195,3,3/2/2020,,
511,1,1,N.K. Jemisin,,Al cincilea anotimp ,,4.31,,,9786068673660,462,3,3/2/2020,,
512,1,1,N.K. Jemisin,,Poarta Obeliscului ,,4.31,,,9786068673967,408,3,3/2/2020,,
513,1,1,Martin McDonagh,,"Three Billboards Outside Ebbing, Missouri",,4.04,,,9780571345304,96,3,3/2/2020,,
514,1,1,Andrew Gross,,Singurul om,,4.32,,,9786068965055,460,3,3/2/2020,,
515,1,1,Victoria Aveyard,,Regina Roșie ,,4.01,,,9786067584660,472,3,3/2/2020,,
516,1,1,Gillian Flynn,,Fata dispărută,,4.13,,,,616,3,3/2/2020,,
517,1,1,Victoria Aveyard,,Sabia de sticlă ,,3.8,,,9786067589016,544,3,3/2/2020,,
518,1,1,Victoria Aveyard,,Colivia regelui,,3.91,,,,608,3,3/2/2020,,
519,1,1,Veronica Roth,,Divergent ,,4.14,,,9780062024039,487,3,3/2/2020,,
520,1,1,Veronica Roth,,Insurgent ,,3.97,,,9780007442911,525,3,3/2/2020,,
521,1,1,Veronica Roth,,Allegiant ,,3.6,,,9780007524273,531,3,3/2/2020,,
522,1,1,Anthony Doerr,,Toată lumina pe care nu o putem vedea,,4.32,,,9786067790542,464,3,3/2/2020,,
523,1,1,Carlos Ruiz Zafón,,Palatul de la Miazănoapte,,3.63,,,9789734622573,246,3,3/2/2020,,
524,1,1,Kurt Vonnegut Jr.,,Abatorul cinci,,4.1,,,9789731249759,198,3,3/2/2020,,
525,1,1,Stephenie Meyer,,Chimista,,3.76,,,,608,3,3/2/2020,,
526,1,1,Marc Levy,,Prima zi,,3.81,,,9789737073310,488,3,3/2/2020,,
527,1,1,John Fowles,,Colecționarul,,3.98,,,9789734626601,291,3,3/2/2020,,
528,1,1,Marian Coman,,Haiganu. Fluviul Șoaptelor ,,4.22,,,9786069364048,256,3,3/2/2020,,
529,1,1,Lyudmila Ulitskaya,,Scara lui Iakov,,4.25,,,9786067794274,584,3,3/2/2020,,
530,1,1,Carlos Ruiz Zafón,,Umbra vântului ,,4.3,,,,488,3,3/2/2020,,
531,1,1,Carlos Ruiz Zafón,,Jocul îngerului,,4,,,9789734613892,472,3,3/2/2020,,
532,1,1,Carlos Ruiz Zafón,,Prizonierul cerului ,,4.12,,,9789734640515,248,3,3/2/2020,,
533,1,1,Carlos Ruiz Zafón,,Labirintul spiritelor ,,4.53,,,9789734671472,896,3,3/2/2020,,
534,1,1,S.J. Watson,,Înainte să adorm,,3.9,,,9789737075147,440,3,3/2/2020,,
535,1,1,Robert Galbraith,,Carieră malefică ,,4.22,,,9786067197334,644,3,3/2/2020,,
536,1,1,Robert Galbraith,,Chemarea cucului ,,3.88,,,9789737078803,616,3,3/2/2020,,
537,1,1,Robert Galbraith,,Viermele de mătase ,,4.05,,,9786067191806,640,3,3/2/2020,,
