id,book_type,book_language,authors,image,title,book_genre,rating,published_date,description,isbn_13,page_count,book_status,date_added,date_read,goodreads_link,goodreads_book_id,goodreads_image_link
146,1,,Traian Tandin,,Delincventi Natafleti,,4.4,,,9789738708976,208,,2020-04-08,,,25143796,
147,1,,Traian Tandin,,Bolidul verde,,5.0,,,,303,,2020-04-08,,,31915844,
148,1,,Traian Tandin,,Din jurnalul unui politist,,4.0,,,,430,,2020-04-08,,,18163860,
149,1,,Traian Tandin,,Dilemele căpitanului Roman,,3.93,,,,240,,2020-04-08,,,29629661,
150,1,,Traian Tandin,,Femei criminale în România,,4.43,,,,296,,2020-04-08,,,22879806,
151,1,,Traian Tandin,,Criminali din lăcomie,,3.86,,,,368,,2020-04-08,,,22033685,
152,1,,Traian Tandin,,Cazuri judiciare celebre,,4.56,,,,336,,2020-04-08,,,19458196,
153,1,,Traian Tandin,,Cei mai odioși 100 criminali români,,4.11,,,,448,,2020-04-08,,,22874939,
154,1,,Traian Tandin,,"Adio, ringo!",,4.23,,,,207,,2020-04-08,,,18166622,
155,1,,C.J. Tudor,,Omul de cretă,,3.71,,,9786064300638,284,,2020-04-08,,,43450419,
156,1,,Douglas Preston,,Crooked River ,,4.26,,,,396,,2020-04-08,,,51019892,
157,1,,Douglas Preston,,The Strange Case of Monsieur Bertin ,,4.03,,,9781538717585,70,,2020-04-08,,,51188639,
158,1,,Douglas Preston,,City of Endless Night ,,4.08,,,,416,,2020-04-08,,,34517346,
159,1,,Douglas Preston,,Verses for the Dead ,,4.22,,,9781538715482,434,,2020-04-08,,,40697525,
160,1,,Douglas Preston,,The Obsidian Chamber ,,3.98,,,9781455541676,560,,2020-04-08,,,29246616,
161,1,,Douglas Preston,,Crimson Shore ,,4.03,,,9781455525928,339,,2020-04-08,,,25614598,
162,1,,Douglas Preston,,Blue Labyrinth ,,4.13,,,9781455525898,403,,2020-04-08,,,20980959,
163,1,,Douglas Preston,,White Fire ,,4.11,,,9781455525836,368,,2020-04-08,,,17159011,
164,1,,Douglas Preston,,Extraction ,,3.98,,,9781455528080,128,,2020-04-08,,,15789985,
165,1,,Douglas Preston,,Two Graves ,,4.06,,,9780446554992,484,,2020-04-08,,,14889780,
166,1,,Douglas Preston,,Cold Vengeance ,,4.11,,,,457,,2020-04-08,,,40884817,
167,1,,Douglas Preston,,Fever Dream ,,4.12,,,9780446554961,405,,2020-04-08,,,7122034,
168,1,,Douglas Preston,,Cemetery Dance ,,4.03,,,9780446580298,435,,2020-04-08,,,2197227,
169,1,,Douglas Preston,,The Wheel of Darkness ,,3.96,,,9780446580281,388,,2020-04-08,,,39028,
170,1,,Douglas Preston,,The Book of the Dead ,,4.16,,,9780446576987,454,,2020-04-08,,,30068,
171,1,,Douglas Preston,,Dance of Death ,,4.19,,,9780446617093,560,,2020-04-08,,,136638,
172,1,,Douglas Preston,,Brimstone ,,4.15,,,9780446612753,740,,2020-04-08,,,136637,
173,1,,Douglas Preston,,Still Life With Crows ,,4.21,,,9780446612760,571,,2020-04-08,,,39033,
174,1,,Douglas Preston,,Reliquary ,,4.03,,,9780765354952,464,,2020-04-08,,,39030,
175,1,,Douglas Preston,,Relic ,,4.05,,,9780765354945,480,,2020-04-08,,,67035,
